latitude,longitude,name,tipo,cidade
-27.001813918345057,-48.63515904212859,Hotel Luar Atlântico,Hotel,Balneario Camboriu
-26.999552273158933,-48.630370753081976,Hotel Flat Concept,Hotel,Balneario Camboriu
-27.00176965536544,-48.630154064018534,Rezende Suítes Hotel,Hotel,Balneario Camboriu
-27.007227354176354,-48.623009021313635,Rizzu Marina Hotel,Hotel,Balneario Camboriu
-27.006077335761383,-48.59870956085246,Hotel Interpraias,Hotel,Balneario Camboriu
-27.00059565739017,-48.624617542436866,Hotel Negrini,Hotel,Balneario Camboriu
-27.00036103439121,-48.62454996421438,Hotel Gracher Praia,Hotel,Balneario Camboriu
-26.998623384362098,-48.626079920167314,Hotel Geranium,Hotel,Balneario Camboriu
-26.9965813240448,-48.625735619058894,Hotel Bhally,Hotel,Balneario Camboriu
-27.005506863774738,-48.616183974099464,Santa Inn Hotel,Hotel,Balneario Camboriu
-27.009399689074336,-48.580939648436974,Reserva Praia Hotel,Hotel,Balneario Camboriu
-26.995674759469292,-48.629309847069045,Hotel Di Sica - Balneário Camboriú,Hotel,Balneario Camboriu
-27.0018268825928,-48.635190552230846,Hotel Luar Atlântico,Hotel,Balneario Camboriu
-26.991981622936454,-48.63069443170454,Hotel Melo,Hotel,Balneario Camboriu
-26.990848740132396,-48.632105273584074,Hotel Master,Hotel,Balneario Camboriu
-26.989700971669187,-48.632188179449386,Sandri City Hotel,Hotel,Balneario Camboriu
-26.989222953747653,-48.63233838314759,Hotel Gumz,Hotel,Balneario Camboriu
-26.989280316005477,-48.632665612632955,Hotel Açores - Balneário Camboriú,Hotel,Balneario Camboriu
-26.989089108365633,-48.63281581633115,Hotel Pires,Hotel,Balneario Camboriu
-26.988716252533255,-48.63319132557666,Hotel Brasil Express,Hotel,Balneario Camboriu
-26.988376857047385,-48.63305185071405,Sagres Praia Hotel - Balneário Camboriú,Hotel,Balneario Camboriu
-26.988056581470012,-48.63272998565358,Ryan Hotel,Hotel,Balneario Camboriu
-26.987692570511953,-48.634203635265074,Hotel Sibara Flat & Convenções,Hotel,Balneario Camboriu
-26.987911941700983,-48.635368089759815,Centromar Hotel,Hotel,Balneario Camboriu
-26.98767292919337,-48.63641951564725,Costa Sul Beach Hotel,Hotel,Balneario Camboriu
-26.986755116445725,-48.63501403818552,Hotel Plaza Camboriú,Hotel,Balneario Camboriu
-26.986726434676708,-48.636076192908504,Hotel Tropikalya Gold,Hotel,Balneario Camboriu
-26.9865288849668,-48.63566856989159,Hotel Tropikalya Prime,Hotel,Balneario Camboriu
-26.98684793152264,-48.63703625189533,Hotel das Américas,Hotel,Balneario Camboriu
-27.02370230278413,-48.650307529211794,Arco do Sol Park Hotel,Hotel,Camboriu